timestamp,region,throughput,latency_ms,error_rate,cyber_alerts,energy_usage,supply_chain_index,financial_volatility,satellite_signal
2026-07-21 00:00:00,Pacific Northwest,1245,14.2,0.02,4,32.1,85.3,15.2,62.3
2026-07-21 00:10:00,North Atlantic,1189,16.7,0.03,5,28.7,88.1,18.6,55.7
2026-07-21 00:20:00,Global Markets,1320,12.8,0.01,3,25.4,92.4,22.1,58.9
2026-07-21 00:30:00,Northern Europe,1105,18.3,0.04,6,35.6,79.2,14.8,67.2
2026-07-21 00:40:00,East Asia,1287,15.1,0.02,4,30.2,87.6,19.3,71.4
2026-07-21 00:50:00,South China Sea,1156,17.9,0.03,7,27.8,82.3,16.5,59.8
2026-07-21 01:00:00,GEO Orbit,1420,11.3,0.01,2,22.1,95.7,12.4,76.3
2026-07-21 01:10:00,Middle East,1210,16.2,0.03,5,33.4,81.5,25.7,53.2
2026-07-21 01:20:00,Latin America,1178,18.7,0.04,4,29.6,84.9,17.2,61.5
2026-07-21 01:30:00,Southeast Asia,1312,13.4,0.02,3,26.3,90.1,16.8,64.7
2026-07-21 01:40:00,Arctic Circle,1089,19.5,0.05,8,36.8,78.4,13.5,68.9
2026-07-21 01:50:00,Indian Ocean,1267,15.8,0.02,4,31.5,86.7,19.7,72.1
2026-07-21 02:00:00,Central Africa,1145,17.2,0.03,6,34.2,80.3,15.8,56.4
2026-07-21 02:10:00,Australia,1356,12.1,0.01,3,23.7,93.2,14.2,69.8
2026-07-21 02:20:00,Pacific Northwest,1223,15.4,0.02,5,30.8,86.5,18.9,63.1
2026-07-21 02:30:00,North Atlantic,1195,17.6,0.04,4,27.4,83.8,21.3,58.6
2026-07-21 02:40:00,Global Markets,1389,11.9,0.01,3,24.9,94.6,24.8,60.2
2026-07-21 02:50:00,Northern Europe,1112,18.1,0.05,7,34.9,77.9,15.6,66.7
2026-07-21 03:00:00,East Asia,1276,14.7,0.02,4,29.7,88.3,20.1,70.5
2026-07-21 03:10:00,South China Sea,1148,16.9,0.03,6,26.5,81.4,17.3,60.8
2026-07-21 03:20:00,GEO Orbit,1405,10.8,0.01,2,21.3,96.1,11.9,77.9
2026-07-21 03:30:00,Middle East,1203,15.7,0.03,5,32.7,80.9,26.4,54.1
2026-07-21 03:40:00,Latin America,1165,18.4,0.04,4,28.9,83.5,16.7,62.8
2026-07-21 03:50:00,Southeast Asia,1304,13.1,0.02,3,25.8,89.7,17.1,65.3
2026-07-21 04:00:00,Arctic Circle,1078,19.8,0.05,7,37.2,77.2,14.1,67.4
2026-07-21 04:10:00,Indian Ocean,1256,16.3,0.03,4,30.9,87.2,20.3,71.8
2026-07-21 04:20:00,Central Africa,1134,17.5,0.04,5,33.8,79.8,16.2,55.9
2026-07-21 04:30:00,Australia,1342,12.5,0.01,2,23.1,92.8,13.8,68.4
2026-07-21 04:40:00,Pacific Northwest,1238,14.8,0.02,4,31.2,85.9,19.5,64.2
2026-07-21 04:50:00,North Atlantic,1182,16.8,0.03,5,28.1,84.2,20.7,57.3
2026-07-21 05:00:00,Pacific Northwest,412,37.8,0.89,15,45.6,52.3,42.7,28.9
2026-07-21 05:10:00,Southeast Asia,1298,13.7,0.02,4,25.1,88.4,16.4,63.9
2026-07-21 05:20:00,Northern Europe,1121,17.8,0.03,6,33.7,80.1,14.5,65.8
2026-07-21 05:30:00,Australia,1367,11.6,0.01,3,22.8,91.5,13.2,70.1
2026-07-21 05:40:00,Middle East,1198,15.9,0.04,5,31.9,82.7,25.1,52.7
2026-07-21 05:50:00,Arctic Circle,1092,19.2,0.05,7,35.9,76.8,13.8,66.3
2026-07-21 06:00:00,East Asia,1263,14.5,0.02,4,28.6,89.1,19.8,69.4
2026-07-21 06:10:00,Global Markets,1345,12.3,0.01,3,23.4,93.7,23.2,59.6
2026-07-21 06:20:00,South China Sea,1162,17.1,0.03,5,27.2,82.9,17.5,61.9
2026-07-21 06:30:00,Latin America,1173,18.9,0.04,4,29.1,83.1,16.1,60.5
2026-07-21 06:40:00,GEO Orbit,1411,10.5,0.01,2,20.8,95.2,12.1,78.5
2026-07-21 06:50:00,Indian Ocean,1278,15.2,0.02,5,32.4,85.8,21.4,70.2
2026-07-21 07:00:00,Central Africa,1141,17.3,0.03,6,34.5,78.6,15.4,54.8
2026-07-21 07:10:00,Pacific Northwest,1215,14.6,0.02,4,29.8,87.3,18.2,62.7
2026-07-21 07:20:00,South China Sea,712,22.4,0.12,89,38.9,61.5,34.8,35.2
2026-07-21 07:30:00,North Atlantic,1192,16.5,0.03,6,27.6,85.1,20.5,56.8
2026-07-21 07:40:00,Australia,1338,11.9,0.02,2,22.5,93.4,14.6,67.9
2026-07-21 07:50:00,Northern Europe,1108,18.5,0.05,7,35.1,78.3,15.2,64.5
2026-07-21 08:00:00,Southeast Asia,1315,13.2,0.01,3,24.7,91.2,16.9,66.1
2026-07-21 08:10:00,Middle East,1207,16.1,0.03,6,32.3,81.8,24.7,53.8
2026-07-21 08:20:00,Arctic Circle,943,22.5,0.08,9,39.4,71.2,18.5,58.2
2026-07-21 08:30:00,Indian Ocean,1248,16.8,0.02,4,31.1,86.3,19.2,70.9
2026-07-21 08:40:00,East Asia,1259,14.2,0.03,5,29.3,87.8,18.7,68.5
2026-07-21 08:50:00,Central Africa,1137,17.6,0.04,5,33.9,80.4,15.7,56.2
2026-07-21 09:00:00,Latin America,1174,18.2,0.03,4,28.7,84.3,17.8,61.3
2026-07-21 09:10:00,GEO Orbit,1398,10.9,0.01,2,21.5,94.8,11.5,79.1
2026-07-21 09:20:00,Pacific Northwest,1228,15.3,0.02,5,30.5,86.1,18.4,63.5
2026-07-21 09:30:00,North Atlantic,1186,17.2,0.04,4,27.9,83.7,21.8,57.9
2026-07-21 09:40:00,Global Markets,1371,12.4,0.01,3,24.2,93.1,23.9,60.8
2026-07-21 09:50:00,Global Markets,867,25.9,0.23,12,56.8,23.1,95.3,31.4
2026-07-21 10:00:00,South China Sea,1153,16.4,0.03,6,26.8,80.7,18.1,62.5
2026-07-21 10:10:00,Northern Europe,1116,18.8,0.04,7,34.2,79.5,14.9,67.8
2026-07-21 10:20:00,Southeast Asia,1301,13.8,0.02,3,25.5,90.4,16.2,64.8
2026-07-21 10:30:00,Australia,1352,11.7,0.01,2,22.9,92.5,13.5,69.2
2026-07-21 10:40:00,Middle East,1194,16.3,0.04,5,32.9,80.2,26.1,54.5
2026-07-21 10:50:00,East Asia,1272,14.9,0.02,4,29.8,88.6,20.8,71.2
2026-07-21 11:00:00,Indian Ocean,1265,15.4,0.03,5,31.7,84.6,19.5,69.8
2026-07-21 11:10:00,Arctic Circle,1085,19.6,0.05,8,36.5,77.5,14.3,65.9
